Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
li yanixn,JUMP_ROPE,2026-04-24,21:35:14,00:03:32,,88,,,,,12,,,,,,,,,,,,,173.0,65.0,198,55,57
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,00:00:00,66,,,,,,,,
,00:00:01,65,,,,,,,,
,00:00:02,65,,,,,,,,
,00:00:03,65,,,,,,,,
,00:00:04,65,,,,,,,,
,00:00:05,64,,,,,,,,
,00:00:06,64,,,,,,,,
,00:00:07,64,,,,,,,,
,00:00:08,64,,,,,,,,
,00:00:09,63,,,,,,,,
,00:00:10,63,,,,,,,,
,00:00:11,62,,,,,,,,
,00:00:12,62,,,,,,,,
,00:00:13,62,,,,,,,,
,00:00:14,61,,,,,,,,
,00:00:15,61,,,,,,,,
,00:00:16,61,,,,,,,,
,00:00:17,61,,,,,,,,
,00:00:18,61,,,,,,,,
,00:00:19,61,,,,,,,,
,00:00:20,61,,,,,,,,
,00:00:21,60,,,,,,,,
,00:00:22,60,,,,,,,,
,00:00:23,60,,,,,,,,
,00:00:24,61,,,,,,,,
,00:00:25,61,,,,,,,,
,00:00:26,61,,,,,,,,
,00:00:27,61,,,,,,,,
,00:00:28,60,,,,,,,,
,00:00:29,60,,,,,,,,
,00:00:30,60,,,,,,,,
,00:00:31,60,,,,,,,,
,00:00:32,60,,,,,,,,
,00:00:33,60,,,,,,,,
,00:00:34,61,,,,,,,,
,00:00:35,61,,,,,,,,
,00:00:36,61,,,,,,,,
,00:00:37,61,,,,,,,,
,00:00:38,61,,,,,,,,
,00:00:39,61,,,,,,,,
,00:00:40,61,,,,,,,,
,00:00:41,61,,,,,,,,
,00:00:42,61,,,,,,,,
,00:00:43,61,,,,,,,,
,00:00:44,61,,,,,,,,
,00:00:45,61,,,,,,,,
,00:00:46,61,,,,,,,,
,00:00:47,61,,,,,,,,
,00:00:48,61,,,,,,,,
,00:00:49,61,,,,,,,,
,00:00:50,61,,,,,,,,
,00:00:51,61,,,,,,,,
,00:00:52,61,,,,,,,,
,00:00:53,61,,,,,,,,
,00:00:54,61,,,,,,,,
,00:00:55,61,,,,,,,,
,00:00:56,61,,,,,,,,
,00:00:57,61,,,,,,,,
,00:00:58,62,,,,,,,,
,00:00:59,62,,,,,,,,
,00:01:00,63,,,,,,,,
,00:01:01,63,,,,,,,,
,00:01:02,64,,,,,,,,
,00:01:03,63,,,,,,,,
,00:01:04,62,,,,,,,,
,00:01:05,64,,,,,,,,
,00:01:06,66,,,,,,,,
,00:01:07,74,,,,,,,,
,00:01:08,74,,,,,,,,
,00:01:09,74,,,,,,,,
,00:01:10,74,,,,,,,,
,00:01:11,75,,,,,,,,
,00:01:12,76,,,,,,,,
,00:01:13,87,,,,,,,,
,00:01:14,96,,,,,,,,
,00:01:15,99,,,,,,,,
,00:01:16,99,,,,,,,,
,00:01:17,103,,,,,,,,
,00:01:18,105,,,,,,,,
,00:01:19,105,,,,,,,,
,00:01:20,106,,,,,,,,
,00:01:21,108,,,,,,,,
,00:01:22,108,,,,,,,,
,00:01:23,110,,,,,,,,
,00:01:24,110,,,,,,,,
,00:01:25,111,,,,,,,,
,00:01:26,112,,,,,,,,
,00:01:27,113,,,,,,,,
,00:01:28,114,,,,,,,,
,00:01:29,115,,,,,,,,
,00:01:30,116,,,,,,,,
,00:01:31,116,,,,,,,,
,00:01:32,117,,,,,,,,
,00:01:33,120,,,,,,,,
,00:01:34,121,,,,,,,,
,00:01:35,123,,,,,,,,
,00:01:36,124,,,,,,,,
,00:01:37,125,,,,,,,,
,00:01:38,125,,,,,,,,
,00:01:39,127,,,,,,,,
,00:01:40,127,,,,,,,,
,00:01:41,127,,,,,,,,
,00:01:42,128,,,,,,,,
,00:01:43,128,,,,,,,,
,00:01:44,128,,,,,,,,
,00:01:45,126,,,,,,,,
,00:01:46,126,,,,,,,,
,00:01:47,126,,,,,,,,
,00:01:48,125,,,,,,,,
,00:01:49,125,,,,,,,,
,00:01:50,125,,,,,,,,
,00:01:51,126,,,,,,,,
,00:01:52,126,,,,,,,,
,00:01:53,127,,,,,,,,
,00:01:54,129,,,,,,,,
,00:01:55,129,,,,,,,,
,00:01:56,130,,,,,,,,
,00:01:57,130,,,,,,,,
,00:01:58,130,,,,,,,,
,00:01:59,133,,,,,,,,
,00:02:00,134,,,,,,,,
,00:02:01,135,,,,,,,,
,00:02:02,136,,,,,,,,
,00:02:03,137,,,,,,,,
,00:02:04,137,,,,,,,,
,00:02:05,136,,,,,,,,
,00:02:06,137,,,,,,,,
,00:02:07,137,,,,,,,,
,00:02:08,136,,,,,,,,
,00:02:09,136,,,,,,,,
,00:02:10,132,,,,,,,,
,00:02:11,130,,,,,,,,
,00:02:12,127,,,,,,,,
,00:02:13,125,,,,,,,,
,00:02:14,123,,,,,,,,
,00:02:15,121,,,,,,,,
,00:02:16,120,,,,,,,,
,00:02:17,119,,,,,,,,
,00:02:18,117,,,,,,,,
,00:02:19,117,,,,,,,,
,00:02:20,116,,,,,,,,
,00:02:21,116,,,,,,,,
,00:02:22,112,,,,,,,,
,00:02:23,112,,,,,,,,
,00:02:24,112,,,,,,,,
,00:02:25,109,,,,,,,,
,00:02:26,108,,,,,,,,
,00:02:27,108,,,,,,,,
,00:02:28,109,,,,,,,,
,00:02:29,108,,,,,,,,
,00:02:30,103,,,,,,,,
,00:02:31,101,,,,,,,,
,00:02:32,101,,,,,,,,
,00:02:33,100,,,,,,,,
,00:02:34,98,,,,,,,,
,00:02:35,97,,,,,,,,
,00:02:36,97,,,,,,,,
,00:02:37,95,,,,,,,,
,00:02:38,94,,,,,,,,
,00:02:39,94,,,,,,,,
,00:02:40,94,,,,,,,,
,00:02:41,92,,,,,,,,
,00:02:42,93,,,,,,,,
,00:02:43,94,,,,,,,,
,00:02:44,94,,,,,,,,
,00:02:45,97,,,,,,,,
,00:02:46,98,,,,,,,,
,00:02:47,98,,,,,,,,
,00:02:48,92,,,,,,,,
,00:02:49,91,,,,,,,,
,00:02:50,90,,,,,,,,
,00:02:51,89,,,,,,,,
,00:02:52,88,,,,,,,,
,00:02:53,89,,,,,,,,
,00:02:54,90,,,,,,,,
,00:02:55,89,,,,,,,,
,00:02:56,88,,,,,,,,
,00:02:57,88,,,,,,,,
,00:02:58,84,,,,,,,,
,00:02:59,78,,,,,,,,
,00:03:00,79,,,,,,,,
,00:03:01,79,,,,,,,,
,00:03:02,79,,,,,,,,
,00:03:03,79,,,,,,,,
,00:03:04,78,,,,,,,,
,00:03:05,78,,,,,,,,
,00:03:06,72,,,,,,,,
,00:03:07,72,,,,,,,,
,00:03:08,70,,,,,,,,
,00:03:09,70,,,,,,,,
,00:03:10,69,,,,,,,,
,00:03:11,68,,,,,,,,
,00:03:12,68,,,,,,,,
,00:03:13,68,,,,,,,,
,00:03:14,67,,,,,,,,
,00:03:15,67,,,,,,,,
,00:03:16,66,,,,,,,,
,00:03:17,65,,,,,,,,
,00:03:18,65,,,,,,,,
,00:03:19,64,,,,,,,,
,00:03:20,64,,,,,,,,
,00:03:21,64,,,,,,,,
,00:03:22,63,,,,,,,,
,00:03:23,63,,,,,,,,
,00:03:24,62,,,,,,,,
,00:03:25,62,,,,,,,,
,00:03:26,61,,,,,,,,
,00:03:27,61,,,,,,,,
,00:03:28,61,,,,,,,,
,00:03:29,62,,,,,,,,
,00:03:30,62,,,,,,,,
,00:03:31,62,,,,,,,,
,00:03:32,62,,,,,,,,
